               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096543,             0.18493,                   0,             0.23038,             0.24965,             0.14813,            0.039459,            0.082964,             0.15819,                   0,            0.070065,           0.0033261,           0.0033261
                   1,            0.078353,             0.16394,                   0,             0.50263,             0.37438,             0.39417,             0.15326,            0.070051,              0.1396,                   0,            0.039999,           0.0065936,           0.0065936
                   2,            0.072051,             0.15678,                   0,             0.59555,             0.42256,             0.48142,             0.20799,            0.065796,              0.1373,                   0,           0.0098668,            0.009795,            0.009795
                   3,            0.066327,              0.1518,                   0,             0.70862,             0.49711,             0.59035,             0.28098,            0.059596,             0.12751,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.062248,             0.14706,                   0,             0.73853,             0.53105,               0.625,             0.31105,            0.057276,             0.12512,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.060215,             0.14429,                   0,             0.74704,             0.55055,             0.64748,             0.33356,            0.055578,             0.12221,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.058801,             0.14133,                   0,             0.76302,             0.56117,             0.65922,             0.34437,            0.054644,             0.12065,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.057749,             0.14009,                   0,              0.7596,             0.56747,             0.66868,             0.35457,             0.05421,             0.11949,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.05686,              0.1381,                   0,             0.77234,             0.58386,             0.68618,             0.37164,            0.052851,             0.11834,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.056326,             0.13863,                   0,             0.77897,             0.59232,             0.69347,             0.37709,            0.052381,             0.11781,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.055635,             0.13745,                   0,             0.77931,             0.59511,             0.69765,             0.38511,             0.05175,             0.11648,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.055023,             0.13577,                   0,              0.7926,             0.59937,             0.70427,             0.39304,            0.051288,             0.11562,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.054537,              0.1343,                   0,             0.79108,             0.60325,             0.71034,             0.39996,            0.050758,             0.11477,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.054206,             0.13404,                   0,             0.79266,             0.61366,              0.7168,             0.40698,            0.050306,             0.11428,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.054052,             0.13419,                   0,             0.79426,             0.61359,             0.71696,             0.40779,            0.050131,             0.11429,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.053841,             0.13455,                   0,             0.79867,             0.62217,             0.72469,              0.4152,            0.049781,             0.11369,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.053264,             0.13257,                   0,             0.80009,             0.62231,             0.72732,             0.42169,            0.049224,             0.11274,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.052947,             0.13214,                   0,             0.80442,             0.62518,             0.72982,             0.42389,            0.049121,             0.11238,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.052637,             0.13133,                   0,             0.80903,             0.63067,             0.73436,               0.427,            0.048816,             0.11225,                   0,            0.008317,            0.008317,            0.008317
